sex,n,kep_이재명,kep_김문수,kep_이준석,C_L3_이재명,C_L3_김문수,C_L3_이준석,C_L3_mae,C_base_이재명,C_base_김문수,C_base_이준석,C_base_mae,C_bns_이재명,C_bns_김문수,C_bns_이준석,C_bns_mae,C_pv_이재명,C_pv_김문수,C_pv_이준석,C_pv_mae,C_full_이재명,C_full_김문수,C_full_이준석,C_full_mae
여성,2576,55.1,39.2,4.3,100.0,0.0,0.0,29.47,72.63,25.58,1.79,11.22,67.7,30.67,1.63,7.93,72.44,25.85,1.71,11.09,67.5,30.91,1.59,7.8
남성,2424,48.3,39.4,11.1,99.88,0.12,0.0,33.98,63.82,30.82,5.36,9.95,60.31,35.77,3.92,7.6,62.81,31.57,5.61,9.28,60.0,35.83,4.17,7.4
